2025-08,Berlin,G-USA-Missouri,G,A2000035,Berlin,Hamburg,Deutschland,Vereinigte Staaten,2,S-0002-0005-C-10-3510-AH007735-N,AH007735/3000024203/0002,1001012511
2025-07,Bukarest,Ras Abu Fontas,W,A2000035,Erlangen,Hamburg,Deutschland,Republik Korea (Südkorea),1003,S-1003-0024-A-11-3510-4883483Q-N,E7701243/969000/1003,1001014430
2025-07,Bukarest,Ras Abu Fontas,W,A2000035,Erlangen,Hamburg,Deutschland,Republik Korea (Südkorea),1003,S-1003-0003-A-11-3510-4883483Q-N,E7701243/969000/1003,1001017833
2025-09,Bukarest,QASSIM,W,A2000021,Erlangen,Berlin,Deutschland,Saudi-Arabien,64,S-0064-0001-G-13-3510-4883483Q-N,E7700917/797700/0064,1001013410
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,27,T-0027-0034-A-00-3510-4883483Q-N,AH038247/783100/0027,1001014231
2025-07,Bukarest,Adamow,W,A2000035,Erlangen,Hamburg,Deutschland,Polen,27,T-0027-0028-A-00-3510-4883483Q-N,AH038247/783100/0027,1001013190
2025-08,Bukarest,RABIGH 2,W,A2000035,Erlangen,Hamburg,Deutschland,Saudi-Arabien,34,S-0034-0002-A-23-3510-4883483Q-N,E7701241/952600/0034,1001013189
2025-07,Bukarest,New 4000F LTP,O,A2000035,Berlin,Hamburg,Deutschland,Libyen,712,A-0712-0003-C-O-4176-01-A-N,AH036468/417601/0712,1001015054
2025-07,Bukarest,Ras Abu Fontas,W,A2000035,Erlangen,Hamburg,Deutschland,Republik Korea (Südkorea),1003,S-1003-0002-A-11-3510-4883483Q-N,E7701243/969000/1003,1001015628
2025-07,Bukarest,Ras Abu Fontas,W,A2000035,Erlangen,Hamburg,Deutschland,Republik Korea (Südkorea),1000,S-1000-0003-A-11-3510-4883483Q-N,E7701243/969000/1000,1001018125
